section	object_name	relkind	comment
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	20	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	21	note	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	22	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	23	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	24	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	25	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	26	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	3	aicm_user_company_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	4	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	5	aicm_leader_middle_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	6	middle_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	7	aicm_manager_major_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	8	major_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	9	deliverable_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	1	aicm_leader_middle_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	10	section_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	11	middle_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	12	middle_item_description	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	13	leader_robot_label	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	14	breakdown_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	15	handoff_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	16	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	17	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	18	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	19	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	20	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	21	note	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	22	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	23	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	24	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	25	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	26	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	3	aicm_user_company_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	4	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	5	aicm_manager_major_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	6	major_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	7	aicm_user_company_department_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	8	department_name	text	YES
candidate_column	business.vw_aicm_pmlw_leader_middle_display	9	aicm_user_company_section_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	1	aicm_manager_major_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	10	aicm_user_company_section_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	11	section_name	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	12	major_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	13	major_item_description	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	14	source_route_code	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	15	manager_robot_label	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	16	assigned_leader_label	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	17	decomposition_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	18	handoff_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	19	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	20	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	21	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	22	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	23	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	24	note	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	25	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	26	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	27	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	28	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	29	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	3	aicm_user_company_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	4	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	5	aicm_president_policy_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	6	policy_title	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	7	policy_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	8	aicm_user_company_department_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_major_work_display	9	department_name	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	1	aicm_president_policy_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	10	policy_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	11	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	12	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	13	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	14	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	15	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	16	note	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	17	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	18	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	19	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	20	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	21	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	3	aicm_user_company_id	uuid	YES
